UtteranceDataType,utterance,intent,agent_id,background_skill_id
GOLDEN_SET,the heater isn't working,MaintenanceIntent,,
GOLDEN_SET,the hot water is broken,MaintenanceIntent,,
GOLDEN_SET,the hot water isn't working,MaintenanceIntent,,
GOLDEN_SET,the microwave is broken,MaintenanceIntent,,
GOLDEN_SET,the microwave isn't working,MaintenanceIntent,,
GOLDEN_SET,the phone isn't working,MaintenanceIntent,,
GOLDEN_SET,the pull cord is broken,MaintenanceIntent,,
GOLDEN_SET,the pull cord isn't working,MaintenanceIntent,,
GOLDEN_SET,the sink is clogged,MaintenanceIntent,,
GOLDEN_SET,the smoke alarm is beeping,MaintenanceIntent,,
GOLDEN_SET,the smoke alarm is going off,MaintenanceIntent,,
GOLDEN_SET,the t. v. is broken,MaintenanceIntent,,
GOLDEN_SET,the t. v. isn't working,MaintenanceIntent,,
GOLDEN_SET,the television is broken,MaintenanceIntent,,
GOLDEN_SET,the television isn't working,MaintenanceIntent,,
GOLDEN_SET,there are ants in the cabinets,MaintenanceIntent,,
GOLDEN_SET,there are ants in the kitchen,MaintenanceIntent,,
GOLDEN_SET,there is a water leak,MaintenanceIntent,,
GOLDEN_SET,there is no hot water,MaintenanceIntent,,
GOLDEN_SET,water is leaking,MaintenanceIntent,,
GOLDEN_SET,alarm is beeping,MaintenanceIntent,,
GOLDEN_SET,an alarm is going off,MaintenanceIntent,,
GOLDEN_SET,broken call button,MaintenanceIntent,,
GOLDEN_SET,equipment is beeping,MaintenanceIntent,,
GOLDEN_SET,i'm beeping,MaintenanceIntent,,
GOLDEN_SET,infusion complete,MaintenanceIntent,,
GOLDEN_SET,infusion is complete,MaintenanceIntent,,
GOLDEN_SET,it's beeping again,MaintenanceIntent,,
GOLDEN_SET,machine,MaintenanceIntent,,
GOLDEN_SET,machine is beeping,MaintenanceIntent,,
GOLDEN_SET,my alarm is going off,MaintenanceIntent,,
GOLDEN_SET,my alarm is ringing,MaintenanceIntent,,
GOLDEN_SET,my bed is beeping,MaintenanceIntent,,
GOLDEN_SET,my bed isn't working,MaintenanceIntent,,
GOLDEN_SET,my beeper is going off,MaintenanceIntent,,
GOLDEN_SET,my infusion is complete,MaintenanceIntent,,
GOLDEN_SET,my machine is beeping,MaintenanceIntent,,
GOLDEN_SET,my monitor is beeping,MaintenanceIntent,,
GOLDEN_SET,my monitor is going off,MaintenanceIntent,,
GOLDEN_SET,something is beeping,MaintenanceIntent,,
GOLDEN_SET,the alarm is beeping,MaintenanceIntent,,
GOLDEN_SET,the alarm is going off,MaintenanceIntent,,
GOLDEN_SET,the beeper is going off,MaintenanceIntent,,
GOLDEN_SET,the machine is beeping,MaintenanceIntent,,
GOLDEN_SET,the monitor is beeping,MaintenanceIntent,,
GOLDEN_SET,the monitor is making a noise,MaintenanceIntent,,
GOLDEN_SET,there's an alarm going off,MaintenanceIntent,,
GOLDEN_SET,a medicine,MedicationIntent,,
GOLDEN_SET,a pain pill,MedicationIntent,,
GOLDEN_SET,any pain medication,MedicationIntent,,
GOLDEN_SET,any pain medicine,MedicationIntent,,
GOLDEN_SET,bring me medication,MedicationIntent,,
GOLDEN_SET,bring me my medication,MedicationIntent,,
GOLDEN_SET,bring me my pain medicine,MedicationIntent,,
GOLDEN_SET,bring me pain medication,MedicationIntent,,
GOLDEN_SET,bring me pain medicine,MedicationIntent,,
GOLDEN_SET,bring me pain meds,MedicationIntent,,
GOLDEN_SET,bring my medication,MedicationIntent,,
GOLDEN_SET,bring my meds,MedicationIntent,,
GOLDEN_SET,bring my pain medicine,MedicationIntent,,
GOLDEN_SET,bring pain medication,MedicationIntent,,
GOLDEN_SET,bring pain medicine,MedicationIntent,,
GOLDEN_SET,bring the pain medication,MedicationIntent,,
GOLDEN_SET,give me pain medication,MedicationIntent,,
GOLDEN_SET,give me pain medicine,MedicationIntent,,
GOLDEN_SET,i need a pain medication,MedicationIntent,,
GOLDEN_SET,i need a pain pill,MedicationIntent,,
GOLDEN_SET,i need advil,MedicationIntent,,
GOLDEN_SET,i need aleve,MedicationIntent,,
GOLDEN_SET,i need aspirin,MedicationIntent,,
GOLDEN_SET,i need benadryl,MedicationIntent,,
GOLDEN_SET,i need cough suppressant,MedicationIntent,,
GOLDEN_SET,i need cough syrup,MedicationIntent,,
GOLDEN_SET,i need gasx,MedicationIntent,,
GOLDEN_SET,i need ibuprofen,MedicationIntent,,
GOLDEN_SET,i need medication,MedicationIntent,,
GOLDEN_SET,i need medicine,MedicationIntent,,
GOLDEN_SET,i need meds,MedicationIntent,,
GOLDEN_SET,i need more medication,MedicationIntent,,
GOLDEN_SET,i need more medicine,MedicationIntent,,
GOLDEN_SET,i need more pain medication,MedicationIntent,,
GOLDEN_SET,i need more pain medicine,MedicationIntent,,
GOLDEN_SET,i need my benadryl,MedicationIntent,,
GOLDEN_SET,i need my medication,MedicationIntent,,
GOLDEN_SET,i need my medication for pain,MedicationIntent,,
GOLDEN_SET,i need my medicine,MedicationIntent,,
GOLDEN_SET,i need my meds,MedicationIntent,,
GOLDEN_SET,i need my pain killers,MedicationIntent,,
GOLDEN_SET,i need my pain med,MedicationIntent,,
GOLDEN_SET,i need my pain medication,MedicationIntent,,
GOLDEN_SET,i need my pain medicine,MedicationIntent,,
GOLDEN_SET,i need my pain medison,MedicationIntent,,
GOLDEN_SET,i need my pain meds,MedicationIntent,,
GOLDEN_SET,i need my pain pill,MedicationIntent,,
GOLDEN_SET,i need my pain pills,MedicationIntent,,
GOLDEN_SET,i need my pills,MedicationIntent,,
GOLDEN_SET,i need pain medication,MedicationIntent,,
GOLDEN_SET,i need pain medicine,MedicationIntent,,
GOLDEN_SET,i need pain meds,MedicationIntent,,
GOLDEN_SET,i need pain pills,MedicationIntent,,
GOLDEN_SET,i need painkillers,MedicationIntent,,
GOLDEN_SET,i need payments,MedicationIntent,,
GOLDEN_SET,i need percocet,MedicationIntent,,
GOLDEN_SET,i need robitussin,MedicationIntent,,
GOLDEN_SET,i need some aspirin,MedicationIntent,,
GOLDEN_SET,i need some medication,MedicationIntent,,
GOLDEN_SET,i need some medicine,MedicationIntent,,
GOLDEN_SET,i need some meds,MedicationIntent,,
GOLDEN_SET,i need some pain medecin,MedicationIntent,,
GOLDEN_SET,i need some pain medication,MedicationIntent,,
GOLDEN_SET,i need some pain medicine,MedicationIntent,,
GOLDEN_SET,i need some tylenol,MedicationIntent,,
GOLDEN_SET,i need the medication,MedicationIntent,,
GOLDEN_SET,i need the medicine,MedicationIntent,,
GOLDEN_SET,i need tylenol,MedicationIntent,,
GOLDEN_SET,i want medicine,MedicationIntent,,
GOLDEN_SET,i want my meds,MedicationIntent,,
GOLDEN_SET,i want my pain medication,MedicationIntent,,
GOLDEN_SET,i want my pain medicine,MedicationIntent,,
GOLDEN_SET,i want my pills,MedicationIntent,,
GOLDEN_SET,i want pain medication,MedicationIntent,,
GOLDEN_SET,i want pain medicine,MedicationIntent,,
GOLDEN_SET,i want some pain medication,MedicationIntent,,
GOLDEN_SET,i want some pain medicine,MedicationIntent,,
GOLDEN_SET,i want the medicine,MedicationIntent,,
GOLDEN_SET,i would like pain medication,MedicationIntent,,
GOLDEN_SET,i'd like my medication,MedicationIntent,,
GOLDEN_SET,i'm in pain medication,MedicationIntent,,
GOLDEN_SET,i'm ready for medication,MedicationIntent,,
GOLDEN_SET,i'm ready for my medication,MedicationIntent,,
GOLDEN_SET,i'm ready for my medicine,MedicationIntent,,
GOLDEN_SET,i'm ready for my meds,MedicationIntent,,
GOLDEN_SET,i'm ready for my pain medicine,MedicationIntent,,
GOLDEN_SET,i'm ready for pain medicine,MedicationIntent,,
GOLDEN_SET,i'm ready to take my pills,MedicationIntent,,
GOLDEN_SET,it's time for my medication,MedicationIntent,,
GOLDEN_SET,it's time for my pain medicine,MedicationIntent,,
GOLDEN_SET,medication,MedicationIntent,,
GOLDEN_SET,medicine,MedicationIntent,,
GOLDEN_SET,meds,MedicationIntent,,
GOLDEN_SET,more pain medication,MedicationIntent,,
GOLDEN_SET,my medication,MedicationIntent,,
GOLDEN_SET,my medication is out,MedicationIntent,,
GOLDEN_SET,my medicine,MedicationIntent,,
GOLDEN_SET,my medicine is finished,MedicationIntent,,
GOLDEN_SET,my meds,MedicationIntent,,
GOLDEN_SET,my pain medication,MedicationIntent,,
GOLDEN_SET,my pain medicine,MedicationIntent,,
GOLDEN_SET,my pain meds,MedicationIntent,,
GOLDEN_SET,pain medication,MedicationIntent,,
GOLDEN_SET,pain medicine,MedicationIntent,,
GOLDEN_SET,pain meds,MedicationIntent,,
GOLDEN_SET,some pain medication,MedicationIntent,,
GOLDEN_SET,some tylenol,MedicationIntent,,
GOLDEN_SET,tylenol,MedicationIntent,,
GOLDEN_SET,any medication,MedicationIntent,,
GOLDEN_SET,any medicine,MedicationIntent,,
GOLDEN_SET,bring me zofran,MedicationIntent,,
GOLDEN_SET,i need codeine,MedicationIntent,,
GOLDEN_SET,i need demerol,MedicationIntent,,
GOLDEN_SET,i need dilaudid,MedicationIntent,,
GOLDEN_SET,i need excedrin,MedicationIntent,,
GOLDEN_SET,i need fentanyl,MedicationIntent,,
GOLDEN_SET,i need fluids,MedicationIntent,,
GOLDEN_SET,i need her medicine,MedicationIntent,,
GOLDEN_SET,i need pain medecin,MedicationIntent,,
GOLDEN_SET,i need pain medison,MedicationIntent,,
GOLDEN_SET,i need pain pill,MedicationIntent,,
GOLDEN_SET,i need something for gas,MedicationIntent,,
GOLDEN_SET,pain medecin,MedicationIntent,,
GOLDEN_SET,the medicine is finished,MedicationIntent,,
GOLDEN_SET,another epidural,MedicationIntent,,
GOLDEN_SET,epidural,MedicationIntent,,
GOLDEN_SET,epidural is out,MedicationIntent,,
GOLDEN_SET,epidural is wearing off,MedicationIntent,,
GOLDEN_SET,i need an epidural,MedicationIntent,,
GOLDEN_SET,i need another epidural,MedicationIntent,,
GOLDEN_SET,i want an epidural,MedicationIntent,,
GOLDEN_SET,i'm ready for the epidural,MedicationIntent,,
GOLDEN_SET,more epidural,MedicationIntent,,
GOLDEN_SET,order an epidural,MedicationIntent,,
GOLDEN_SET,something wrong with my epidural,MedicationIntent,,
GOLDEN_SET,where is my epidural,MedicationIntent,,
GOLDEN_SET,help get me up,MobilityIntent,,
GOLDEN_SET,help get out of bed,MobilityIntent,,
GOLDEN_SET,help get out of my bed,MobilityIntent,,
GOLDEN_SET,help get up,MobilityIntent,,
GOLDEN_SET,help getting out of bed,MobilityIntent,,
GOLDEN_SET,help getting out of my bed,MobilityIntent,,
GOLDEN_SET,help getting up,MobilityIntent,,
GOLDEN_SET,help leave bed,MobilityIntent,,
GOLDEN_SET,help me get out of bed,MobilityIntent,,
GOLDEN_SET,help me get out of my bed,MobilityIntent,,
GOLDEN_SET,help me get up,MobilityIntent,,
GOLDEN_SET,help me getting out of bed,MobilityIntent,,
GOLDEN_SET,help me getting out of my bed,MobilityIntent,,
GOLDEN_SET,help me getting up,MobilityIntent,,
GOLDEN_SET,help me leave bed,MobilityIntent,,
GOLDEN_SET,help me leaving bed,MobilityIntent,,
GOLDEN_SET,help me leaving my bed,MobilityIntent,,
GOLDEN_SET,help me out of bed,MobilityIntent,,
GOLDEN_SET,help me out of my bed,MobilityIntent,,
GOLDEN_SET,help out of bed,MobilityIntent,,
GOLDEN_SET,help out of my bed,MobilityIntent,,
GOLDEN_SET,i am in bed,MobilityIntent,,
GOLDEN_SET,i can't get into my wheelchair,MobilityIntent,,
GOLDEN_SET,i can't get up,MobilityIntent,,
GOLDEN_SET,i need help get up,MobilityIntent,,
GOLDEN_SET,i need help getting out of bed,MobilityIntent,,
GOLDEN_SET,i need help getting out of my bed,MobilityIntent,,
GOLDEN_SET,i need help getting up,MobilityIntent,,
GOLDEN_SET,i need help leaving bed,MobilityIntent,,
GOLDEN_SET,i need help leaving my bed,MobilityIntent,,
GOLDEN_SET,i need help out of bed,MobilityIntent,,
GOLDEN_SET,i need help out of my bed,MobilityIntent,,
GOLDEN_SET,i need help reposition,MobilityIntent,,
GOLDEN_SET,i need help repositioning,MobilityIntent,,
GOLDEN_SET,i need to get up,MobilityIntent,,
GOLDEN_SET,i need to stand up,MobilityIntent,,
GOLDEN_SET,i want to get out of bed,MobilityIntent,,
GOLDEN_SET,i want to get out of my bed,MobilityIntent,,
GOLDEN_SET,i want to get up,MobilityIntent,,
GOLDEN_SET,i want to go back to bed,MobilityIntent,,
GOLDEN_SET,i want to leave bed,MobilityIntent,,
GOLDEN_SET,i want to leaving bed,MobilityIntent,,
GOLDEN_SET,i want to out of bed,MobilityIntent,,
GOLDEN_SET,i want to out of my bed,MobilityIntent,,
GOLDEN_SET,i want to stand up,MobilityIntent,,
GOLDEN_SET,i'd like to get up,MobilityIntent,,
GOLDEN_SET,i'd like to stand up,MobilityIntent,,
GOLDEN_SET,i'm back in my room,MobilityIntent,,
GOLDEN_SET,it's time to stand up,MobilityIntent,,
GOLDEN_SET,please help me to stand up,MobilityIntent,,
GOLDEN_SET,adjust my bed,MobilityIntent,,
GOLDEN_SET,change my position,MobilityIntent,,
GOLDEN_SET,i need help moving up in bed,MobilityIntent,,
GOLDEN_SET,i need help turning over,MobilityIntent,,
GOLDEN_SET,i need help with turning over,MobilityIntent,,
GOLDEN_SET,i need to be positioned,MobilityIntent,,
GOLDEN_SET,i need to be repositioned,MobilityIntent,,
GOLDEN_SET,i need to be turned,MobilityIntent,,
GOLDEN_SET,i need to be turned over,MobilityIntent,,
GOLDEN_SET,i need to change my position,MobilityIntent,,
GOLDEN_SET,i need to get turned,MobilityIntent,,
GOLDEN_SET,i need to have my head turned,MobilityIntent,,
GOLDEN_SET,i need to move my pillow,MobilityIntent,,
GOLDEN_SET,i need to turn over,MobilityIntent,,
GOLDEN_SET,i need to turned,MobilityIntent,,
GOLDEN_SET,i need to turned over,MobilityIntent,,
GOLDEN_SET,i want to be repositioned,MobilityIntent,,
GOLDEN_SET,i want to be turned,MobilityIntent,,
GOLDEN_SET,i want to change my position,MobilityIntent,,
GOLDEN_SET,i'd like to change my position,MobilityIntent,,
GOLDEN_SET,ask for help getting out of bed,MobilityIntent,,
GOLDEN_SET,ask for help getting out of my bed,MobilityIntent,,
GOLDEN_SET,ask for help getting up,MobilityIntent,,
GOLDEN_SET,ask for help leaving bed,MobilityIntent,,
GOLDEN_SET,ask for help leaving my bed,MobilityIntent,,
GOLDEN_SET,ask for help out of bed,MobilityIntent,,
GOLDEN_SET,ask for help out of my bed,MobilityIntent,,
GOLDEN_SET,for help out of bed,MobilityIntent,,
GOLDEN_SET,get out of bed,MobilityIntent,,
GOLDEN_SET,i need to go back to bed,MobilityIntent,,
GOLDEN_SET,a wheelchair,MobilityIntent,,
GOLDEN_SET,bring me a wheelchair,MobilityIntent,,
GOLDEN_SET,i need a cart,MobilityIntent,,
GOLDEN_SET,i need a crutch,MobilityIntent,,
GOLDEN_SET,i need a gurney,MobilityIntent,,
GOLDEN_SET,i need a stretcher,MobilityIntent,,
GOLDEN_SET,i need a wheelchair,MobilityIntent,,
GOLDEN_SET,i need help getting into my wheelchair,MobilityIntent,,
GOLDEN_SET,i need help with my wheelchair,MobilityIntent,,
GOLDEN_SET,my gurney is here,MobilityIntent,,
GOLDEN_SET,my ride is here,MobilityIntent,,
GOLDEN_SET,my stretcher is here,MobilityIntent,,
GOLDEN_SET,my transport is here,MobilityIntent,,
GOLDEN_SET,my transportation is here,MobilityIntent,,
GOLDEN_SET,my wheelchair is here,MobilityIntent,,
GOLDEN_SET,transportation,MobilityIntent,,
GOLDEN_SET,transporters here,MobilityIntent,,
GOLDEN_SET,a pain,PainIntent,,
GOLDEN_SET,am in pain,PainIntent,,
GOLDEN_SET,am pain,PainIntent,,
GOLDEN_SET,and a pain,PainIntent,,
GOLDEN_SET,and in pain,PainIntent,,
GOLDEN_SET,and pain,PainIntent,,
GOLDEN_SET,anything for pain,PainIntent,,
GOLDEN_SET,are you in pain,PainIntent,,
GOLDEN_SET,bad pain,PainIntent,,
GOLDEN_SET,can you tell my nurse i'm in pain,PainIntent,,
GOLDEN_SET,chest hurting,PainIntent,,
GOLDEN_SET,chest hurts,PainIntent,,
GOLDEN_SET,chest pain,PainIntent,,
GOLDEN_SET,evan pain,PainIntent,,
GOLDEN_SET,having pain,PainIntent,,
GOLDEN_SET,i am a pain,PainIntent,,
GOLDEN_SET,i am having pain,PainIntent,,
GOLDEN_SET,i am hurting,PainIntent,,
GOLDEN_SET,i am in paid,PainIntent,,
GOLDEN_SET,i am in pain,PainIntent,,
GOLDEN_SET,i am pain,PainIntent,,
GOLDEN_SET,i even pain,PainIntent,,
GOLDEN_SET,i have a pain,PainIntent,,
GOLDEN_SET,i have a pain in my chest,PainIntent,,
GOLDEN_SET,i have an pain,PainIntent,,
GOLDEN_SET,i have chest pain,PainIntent,,
GOLDEN_SET,i have head pain,PainIntent,,
GOLDEN_SET,i have in pain,PainIntent,,
GOLDEN_SET,i have pain,PainIntent,,
GOLDEN_SET,i human pain,PainIntent,,
GOLDEN_SET,i in pain,PainIntent,,
GOLDEN_SET,i make pain,PainIntent,,
GOLDEN_SET,i mean pain,PainIntent,,
GOLDEN_SET,i need i'm in pain,PainIntent,,
GOLDEN_SET,i need my pain,PainIntent,,
GOLDEN_SET,i need pain,PainIntent,,
GOLDEN_SET,i need payment,PainIntent,,
GOLDEN_SET,i need something for pain,PainIntent,,
GOLDEN_SET,i paid,PainIntent,,
GOLDEN_SET,i pain,PainIntent,,
GOLDEN_SET,i want something for pain,PainIntent,,
GOLDEN_SET,i'm a pain,PainIntent,,
GOLDEN_SET,i'm an pain,PainIntent,,
GOLDEN_SET,i'm and pain,PainIntent,,
GOLDEN_SET,i'm feeling pain,PainIntent,,
GOLDEN_SET,i'm gonna pain,PainIntent,,
GOLDEN_SET,i'm having a pain,PainIntent,,
GOLDEN_SET,i'm having pain,PainIntent,,
GOLDEN_SET,i'm heavy pain,PainIntent,,
GOLDEN_SET,i'm hurting,PainIntent,,
GOLDEN_SET,i'm hurting a lot,PainIntent,,
GOLDEN_SET,i'm in a lot of pain,PainIntent,,
GOLDEN_SET,i'm in pain,PainIntent,,
GOLDEN_SET,i'm in pain again,PainIntent,,
GOLDEN_SET,i'm not in pain,PainIntent,,
GOLDEN_SET,i'm pain,PainIntent,,
GOLDEN_SET,i'm still in pain,PainIntent,,
GOLDEN_SET,i'm to pain,PainIntent,,
GOLDEN_SET,i'm your pain,PainIntent,,
GOLDEN_SET,in pain,PainIntent,,
GOLDEN_SET,it hurts a lot,PainIntent,,
GOLDEN_SET,i've been paid,PainIntent,,
GOLDEN_SET,i've been pain,PainIntent,,
GOLDEN_SET,my back hurts,PainIntent,,
GOLDEN_SET,my chest hurts,PainIntent,,
GOLDEN_SET,my foot hurts,PainIntent,,
GOLDEN_SET,my head hurts,PainIntent,,
GOLDEN_SET,my hip hurts,PainIntent,,
GOLDEN_SET,my leg hurts,PainIntent,,
GOLDEN_SET,my neck hurts,PainIntent,,
GOLDEN_SET,my pain,PainIntent,,
GOLDEN_SET,my stomach hurts,PainIntent,,
GOLDEN_SET,on a pain,PainIntent,,
GOLDEN_SET,on and pain,PainIntent,,
GOLDEN_SET,on in pain,PainIntent,,
GOLDEN_SET,on my pain,PainIntent,,
GOLDEN_SET,on pain,PainIntent,,
GOLDEN_SET,on the pain,PainIntent,,
GOLDEN_SET,on then pain,PainIntent,,
GOLDEN_SET,pain,PainIntent,,
GOLDEN_SET,payment pain,PainIntent,,
GOLDEN_SET,please tell my nurse i'm in pain,PainIntent,,
GOLDEN_SET,simon pain,PainIntent,,
GOLDEN_SET,tell my nurse that i am in pain,PainIntent,,
GOLDEN_SET,tell the nurse i am a pain,PainIntent,,
GOLDEN_SET,tell the nurse i am in pain,PainIntent,,
GOLDEN_SET,tell the nurse i'm in pain,PainIntent,,
GOLDEN_SET,today i'm in pain,PainIntent,,
GOLDEN_SET,i have a headache,PainIntent,,
GOLDEN_SET,i threw up,PainIntent,,
GOLDEN_SET,i'm nauseous,PainIntent,,
GOLDEN_SET,nausea,PainIntent,,
GOLDEN_SET,nauseous,PainIntent,,
GOLDEN_SET,vomiting,PainIntent,,
GOLDEN_SET,i cannot breathe,RespirationIntent,,
GOLDEN_SET,i can't breathe,RespirationIntent,,
GOLDEN_SET,i can't catch my breath,RespirationIntent,,
